term,pronunciation,meaning,type,example,exampleReading,exampleMeaning
維持,いじ,DUY TRÌ,Duy Trì,効率的な維持管理に資することを目的とする。 Nhằm mục tiêu giúp ích cho quản lý và duy trì hiệu quả. =保つ,	
意図,いと, [Ý ĐỒ],ý đồ, mục đích, ý định,hắn có ý đồ đen tối gì với cô ta thì phải！ 彼は彼女に悪い意図があるのだろうか =狙い/目的,	
寄附,きふ,[KÍ PHỤ, tặng cho, quyên góp,寄付（きふ）：đóng góp, quyên góp (tiền bạc, đồ dùng) (từ này chỉ phía đóng góp tiền của mình cho phía gây quỹ) 募金（ぼきん）：quyên tiền, gây quỹ (thường là tiền) (từ này chỉ phía gây quỹ, tập họp tiền đóng góp lại) 寄附（きふ）：nghĩa giống với 寄付 (từ này dùng trong các văn,	
拒否,きょひ, [CỰ PHỦ],Từ chối,cự tuyệt, bác bỏ, 着信拒否: từ chối cuộc gọi đến 接続が拒否されました。,	
処置,しょち,XỨ TRÍ,đối xử, điều trị 1.その場に応じた 判断し、物事に始末をつける。「適切にーする」 2．傷や病気の手当てをする。,医者の適切な処置のおかげで、痛みはすぐに治まった。,	
阻止,そし, [TRỞ CHỈ],Ngăn chặn. Cản trở, そのフィルターをつけると虫がくるのを阻止できますよ. 敵の侵入を阻止する Ngăn cản sự xâm nhập của kẻ địch,	
破棄,はき,[PHÁ KHÍ],1. Huỷ bỏ hoặc tiêu huỷ những thứ được viết trên giấy (như hợp đồng, thư mật...) 2. Toà án cấp cao huỷ bỏ, bác bỏ phán quyết,すべての 署名 しょめいされた 合意 ごういを 破棄 はきする Hủy bỏ tất cả những bản hợp đồng đã được kí kết. 高裁 こうさいは 下級裁判所 かきゅうさいばんしょの 判決 はんけつを 破棄 はきした. Tòa án tối cao bác bỏ quyết định của tòa án cấp dưới.,	
保護,ほご,[BẢO HỘ], bảo hộ,保護フィルム: miếng dán bảo vệ( màn hình điện thoại),環境保護活動:Hoạt động bảo vệ môi trường,Bảo vệ. 胃を保護する薬。Thuốc bảo vệ dạ dày.,	
保守,ほしゅ, [BẢO THỦ],1. Bảo thủ 2. Bảo trì,保守主義 chủ nghĩa bảo thủ,	
加味,かみ,[GIA VỊ],１thường chỉ sử dụng trong trường hợp phán đoán, đánh giá,これは最新の社会情勢を加味した結果です。 わが社では、仕事の成果だけしでなく、勤務態度も加味して社員を評価している。,２cho thêm gia vị (vào thức ăn), sự làm tăng thêm mùi vị;,３bổ sung thêm (những yếu tố cần thiết),	
寄与,きよ,[KÍ DỮ],góp phần,貴社の発展に寄与出来るよう頑張ります。 gdpに寄与しない,=役に立つ,	
指揮,しき, CHỈ HUY,chỉ huy,作戦指揮官 指揮命令者,	
支持,しじ,CHI TRÌ, nâng đỡ, duy trì , ủng hộ,彼は多くの市民から支持されている,=> 支持する→「感情」の問題。賛成、応援している => 支援する→「行動」の問題。お金を出して助ける、物をあげて助ける、一緒に働いて助ける,	
